London_Borough,ID,Month,Average_price
Barking & Dagenham,E09000002,1995-01-01,50460.2266
Barnet,E09000003,1995-01-01,93284.51832
Bexley,E09000004,1995-01-01,64958.09036
Brent,E09000005,1995-01-01,71306.56698
Bromley,E09000006,1995-01-01,81671.47692
Camden,E09000007,1995-01-01,120932.8881
Croydon,E09000008,1995-01-01,69158.16225
Ealing,E09000009,1995-01-01,79885.89069
Enfield,E09000010,1995-01-01,72514.69096
Greenwich,E09000011,1995-01-01,62300.10169
Hackney,E09000012,1995-01-01,61296.52637
Hammersmith & Fulham,E09000013,1995-01-01,124902.8602
Haringey,E09000014,1995-01-01,76287.56947
Harrow,E09000015,1995-01-01,84769.52599
Havering,E09000016,1995-01-01,68000.13774
Hillingdon,E09000017,1995-01-01,73834.82964
Hounslow,E09000018,1995-01-01,72231.70537
Islington,E09000019,1995-01-01,92516.48557
Kensington & Chelsea,E09000020,1995-01-01,182694.8326
Kingston upon Thames,E09000021,1995-01-01,80875.84843
Lambeth,E09000022,1995-01-01,67770.98843
Lewisham,E09000023,1995-01-01,60491.26109
Merton,E09000024,1995-01-01,82070.6133
Newham,E09000025,1995-01-01,53539.31919
Redbridge,E09000026,1995-01-01,72189.58437
Richmond upon Thames,E09000027,1995-01-01,109326.1245
Southwark,E09000028,1995-01-01,67885.20344
Sutton,E09000029,1995-01-01,71536.97357
Tower Hamlets,E09000030,1995-01-01,59865.18995
Waltham Forest,E09000031,1995-01-01,61319.44913
Wandsworth,E09000032,1995-01-01,88559.04381
Westminster,E09000033,1995-01-01,133025.2772
Barking & Dagenham,E09000002,1995-02-01,51085.77983
Barnet,E09000003,1995-02-01,93190.16963
Bexley,E09000004,1995-02-01,64787.92069
Brent,E09000005,1995-02-01,72022.26197
Bromley,E09000006,1995-02-01,81657.55944
Camden,E09000007,1995-02-01,119508.8622
Croydon,E09000008,1995-02-01,68951.09542
Ealing,E09000009,1995-02-01,80897.06551
Enfield,E09000010,1995-02-01,73155.19746
Greenwich,E09000011,1995-02-01,60993.26863
Hackney,E09000012,1995-02-01,63187.08332
Hammersmith & Fulham,E09000013,1995-02-01,122087.718
Haringey,E09000014,1995-02-01,78901.21036
Harrow,E09000015,1995-02-01,83396.10525
Havering,E09000016,1995-02-01,69393.51294
Hillingdon,E09000017,1995-02-01,75031.0696
Hounslow,E09000018,1995-02-01,71051.55852
Islington,E09000019,1995-02-01,94342.37334
Kensington & Chelsea,E09000020,1995-02-01,182345.2463
Kingston upon Thames,E09000021,1995-02-01,81230.13524
Lambeth,E09000022,1995-02-01,65381.51908
Lewisham,E09000023,1995-02-01,60869.27091
Merton,E09000024,1995-02-01,79982.74872
Newham,E09000025,1995-02-01,53153.88306
Redbridge,E09000026,1995-02-01,72141.6261
Richmond upon Thames,E09000027,1995-02-01,111103.0394
Southwark,E09000028,1995-02-01,64799.0648
Sutton,E09000029,1995-02-01,70893.20851
Tower Hamlets,E09000030,1995-02-01,62318.53353
Waltham Forest,E09000031,1995-02-01,60252.12246
Wandsworth,E09000032,1995-02-01,88641.01678
Westminster,E09000033,1995-02-01,131468.3096
Barking & Dagenham,E09000002,1995-03-01,51268.96956
Barnet,E09000003,1995-03-01,92247.52435
